Municipio,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Change_2023_2024,Pct_Change_2023_2024,Cum_Change_2020_2024,Cum_Pct_Change_2020_2024
Jayuya,16666.0,16545.0,16390.0,16256.0,16088.0,15838.0,15647.0,15334.0,14778.0,14854.0,14771.0,14708.0,14488.0,14424.0,14440.0,16.0,0.11092623405435387,-331.0,-2.240877394895403
Juana Díaz,50789.0,50539.0,50271.0,50049.0,49620.0,49136.0,48608.0,47816.0,46288.0,46640.0,46498.0,46401.0,45940.0,45895.0,46045.0,150.0,0.3268329883429567,-453.0,-0.9742354509871392
Juncos,40320.0,40151.0,39978.0,39861.0,39446.0,39101.0,38703.0,38064.0,36760.0,37082.0,37031.0,36996.0,36652.0,36668.0,36796.0,128.0,0.3490782153376241,-235.0,-0.6346034403607789
Lajas,25744.0,25583.0,25468.0,25303.0,25053.0,24735.0,24416.0,24005.0,23301.0,23438.0,23278.0,23215.0,22934.0,22862.0,22888.0,26.0,0.11372583326043216,-390.0,-1.6754016668098635
Lares,30737.0,30537.0,30327.0,30181.0,29919.0,29607.0,29242.0,28822.0,27992.0,28182.0,28089.0,27982.0,27759.0,27713.0,27734.0,21.0,0.07577671129072998,-355.0,-1.2638399373420202
Las Marías,9896.0,9816.0,9748.0,9697.0,9575.0,9451.0,9346.0,9181.0,8871.0,8929.0,8856.0,8820.0,8703.0,8668.0,8674.0,6.0,0.0692201199815413,-182.0,-2.055103884372177
Las Piedras,38668.0,38537.0,38310.0,38114.0,37759.0,37336.0,36892.0,36239.0,34982.0,35272.0,35181.0,35143.0,34802.0,34739.0,34890.0,151.0,0.4346699674717177,-291.0,-0.827151019015946
Loíza,30003.0,29456.0,28886.0,28367.0,27697.0,26947.0,26264.0,25441.0,24217.0,24020.0,23607.0,23235.0,22652.0,22299.0,22047.0,-252.0,-1.1300955199784743,-1560.0,-6.608209429406532
Luquillo,20061.0,19939.0,19789.0,19610.0,19391.0,19089.0,18788.0,18432.0,17788.0,17869.0,17766.0,17684.0,17442.0,17383.0,17387.0,4.0,0.023010987746649024,-379.0,-2.1332883035010695
Manatí,44105.0,43791.0,43438.0,43128.0,42596.0,42054.0,41518.0,40805.0,39487.0,39650.0,39450.0,39260.0,38738.0,38631.0,38637.0,6.0,0.015531567911780694,-813.0,-2.0608365019011408
Maricao,6261.0,6123.0,5984.0,5869.0,5710.0,5532.0,5359.0,5156.0,4887.0,4830.0,4752.0,4679.0,4571.0,4521.0,4486.0,-35.0,-0.7741650077416501,-266.0,-5.597643097643098
Maunabo,12247.0,12112.0,11986.0,11866.0,11693.0,11497.0,11301.0,11050.0,10648.0,10651.0,10580.0,10527.0,10368.0,10270.0,10248.0,-22.0,-0.2142161635832522,-332.0,-3.1379962192816633
Mayagüez,88855.0,87373.0,85861.0,84504.0,82693.0,80985.0,79207.0,77177.0,74000.0,73821.0,72847.0,71927.0,70580.0,69741.0,69044.0,-697.0,-0.9994121105232217,-3803.0,-5.2205307013329305
Moca,40170.0,40091.0,39968.0,39842.0,39524.0,39210.0,38830.0,38302.0,37168.0,37479.0,37463.0,37515.0,37279.0,37322.0,37543.0,221.0,0.5921440437275601,80.0,0.21354403010970824
Morovis,32611.0,32385.0,32117.0,31845.0,31437.0,31012.0,30507.0,29862.0,28706.0,28834.0,28706.0,28597.0,28270.0,28182.0,28230.0,48.0,0.17032148179689163,-476.0,-1.6581899254511252
Naguabo,26713.0,26533.0,26314.0,26100.0,25741.0,25347.0,24932.0,24369.0,23391.0,23516.0,23384.0,23278.0,22960.0,22826.0,22820.0,-6.0,-0.02628581442215018,-564.0,-2.4119055764625386
Naranjito,30438.0,30445.0,30476.0,30488.0,30371.0,30216.0,30002.0,29656.0,28862.0,29207.0,29244.0,29341.0,29182.0,29265.0,29516.0,251.0,0.8576798223133435,272.0,0.9301053207495554
Orocovis,23455.0,23325.0,23186.0,23096.0,22888.0,22644.0,22380.0,22005.0,21323.0,21482.0,21431.0,21421.0,21225.0,21209.0,21260.0,51.0,0.24046395398180015,-171.0,-0.7979095702487051
Patillas,19223.0,18946.0,18683.0,18450.0,18120.0,17748.0,17368.0,16912.0,16217.0,16158.0,15940.0,15806.0,15516.0,15335.0,15216.0,-119.0,-0.7760026084121291,-724.0,-4.5420326223337515
Peñuelas,24250.0,23943.0,23599.0,23285.0,22904.0,22491.0,22029.0,21476.0,20604.0,20595.0,20347.0,20140.0,19758.0,19566.0,19453.0,-113.0,-0.5775324542573852,-894.0,-4.393768123064825
Ponce,165919.0,163600.0,161082.0,158948.0,156345.0,153170.0,149414.0,145596.0,139643.0,139237.0,137153.0,134745.0,132091.0,130153.0,129659.0,-494.0,-0.3795532949682297,-7494.0,-5.463970893819312
Quebradillas,25916.0,25801.0,25681.0,25567.0,25304.0,25025.0,24705.0,24271.0,23524.0,23708.0,23619.0,23544.0,23328.0,23251.0,23301.0,50.0,0.21504451421444237,-318.0,-1.3463736822050045
