year,municipio,income,cpi,real_income
2016,Cayey Municipio,20577.0,240.00541666666666,26123.983885780355
2017,Cayey Municipio,20442.0,245.121,25410.970806254867
2018,Cayey Municipio,21320.0,251.0995,25871.388964666727
2019,Cayey Municipio,22518.0,255.65258333333335,26838.486572435046
2020,Cayey Municipio,23104.0,258.85575,27196.17032523584
2021,Cayey Municipio,23823.0,270.96791666666667,26789.028944078556
2022,Cayey Municipio,26704.0,292.6254166666667,27806.265632542167
2023,Cayey Municipio,28461.0,304.70416666666665,28461.0
2010,Ceiba Municipio,18461.0,218.0761666666667,25794.39884153625
2011,Ceiba Municipio,19523.0,224.923,26447.893038210113
2012,Ceiba Municipio,20455.0,229.58608333333333,27147.654764933846
2013,Ceiba Municipio,19520.0,232.95174999999998,25532.434649378396
2014,Ceiba Municipio,20339.0,236.715,26180.757644565543
2015,Ceiba Municipio,20702.0,237.00175000000002,26615.776711915976
2016,Ceiba Municipio,20038.0,240.00541666666666,25439.684555730513
2017,Ceiba Municipio,18998.0,245.121,23615.968270092457
2018,Ceiba Municipio,19103.0,251.0995,23181.10428668051
2019,Ceiba Municipio,18309.0,255.65258333333335,21821.913609322022
2020,Ceiba Municipio,19092.0,258.85575,22473.566648606415
2021,Ceiba Municipio,20748.0,270.96791666666667,23331.182996756997
2022,Ceiba Municipio,22945.0,292.6254166666667,23892.104738566508
2023,Ceiba Municipio,23204.0,304.70416666666665,23204.0
2010,Ciales Municipio,13564.0,218.0761666666667,18952.12750590963
2011,Ciales Municipio,13936.0,224.923,18879.159830994016
2012,Ciales Municipio,13722.0,229.58608333333333,18211.689987016485
2013,Ciales Municipio,13802.0,232.95174999999998,18053.210196245935
2014,Ciales Municipio,12565.0,236.715,16173.913162100696
2015,Ciales Municipio,12630.0,237.00175000000002,16237.912272799671
2016,Ciales Municipio,12511.0,240.00541666666666,15883.615803809984
2017,Ciales Municipio,14432.0,245.121,17940.08074923541
2018,Ciales Municipio,15071.0,251.0995,18288.353803306392
2019,Ciales Municipio,16867.0,255.65258333333335,20103.239764511145
2020,Ciales Municipio,17783.0,258.85575,20932.717143943428
2021,Ciales Municipio,18990.0,270.96791666666667,21354.30716736145
2022,Ciales Municipio,19618.0,292.6254166666667,20427.775583403694
2023,Ciales Municipio,20614.0,304.70416666666665,20614.0
2010,Cidra Municipio,21293.0,218.0761666666667,29751.375035633573
2011,Cidra Municipio,23354.0,224.923,31637.765405642524
2012,Cidra Municipio,23804.0,229.58608333333333,31592.41134316721
2013,Cidra Municipio,24224.0,232.95174999999998,31685.33283537614
2014,Cidra Municipio,23452.0,236.715,30187.87198389061
2015,Cidra Municipio,23315.0,237.00175000000002,29975.21176883011
2016,Cidra Municipio,21846.0,240.00541666666666,27735.07080569362
2017,Cidra Municipio,20389.0,245.121,25345.087749179656
2018,Cidra Municipio,19949.0,251.0995,24207.708182745617
2019,Cidra Municipio,19726.0,255.65258333333335,23510.79075085948
2020,Cidra Municipio,20664.0,258.85575,24323.998597674574
2021,Cidra Municipio,23327.0,270.96791666666667,26231.275581518723
2022,Cidra Municipio,25580.0,292.6254166666667,26635.870089890228
2023,Cidra Municipio,27149.0,304.70416666666665,27149.0
2010,Coamo Municipio,15028.0,218.0761666666667,20997.682996078584
2011,Coamo Municipio,16347.0,224.923,22145.35202046923
2012,Coamo Municipio,16658.0,229.58608333333333,22108.31743213239
2013,Coamo Municipio,17645.0,232.95174999999998,23079.908267842304
2014,Coamo Municipio,17938.0,236.715,23090.143597434326
2015,Coamo Municipio,18233.0,237.00175000000002,23441.476996829486
2016,Coamo Municipio,18453.0,240.00541666666666,23427.412870890068
2017,Coamo Municipio,19110.0,245.121,23755.192843534416
2018,Coamo Municipio,19833.0,251.0995,24066.944527966003
2019,Coamo Municipio,19692.0,255.65258333333335,23470.267234407627
2020,Coamo Municipio,18319.0,258.85575,21563.653228358522
2021,Coamo Municipio,19267.0,270.96791666666667,21665.794428307163
2022,Coamo Municipio,20569.0,292.6254166666667,21418.03017509586
2023,Coamo Municipio,20797.0,304.70416666666665,20797.0
2010,Comerío Municipio,12927.0,218.0761666666667,18062.087309709066
2011,Comerío Municipio,12910.0,224.923,17489.233167202405
2012,Comerío Municipio,12481.0,229.58608333333333,16564.648209295494
2013,Comerío Municipio,12615.0,232.95174999999998,16500.59749497482
2014,Comerío Municipio,13680.0,236.715,17609.162917432353
2015,Comerío Municipio,13124.0,237.00175000000002,16873.029348236174
